ProblemID,QueryID,?Refuted,Time,?VeriEQLRefuted,VeriEQL time,#Backtracking,%Backtracking Type 2,Unsat core size,%unsat core,solving times
619,0,,,False,,,,,,
619,1,,,False,,,,,,
619,2,,,False,,,,,,
619,3,,,False,,,,,,
619,4,,,False,,,,,,
619,5,False,0.045668,False,,0.0,,,,"[0.008045, 0.01154]"
619,6,,,False,,,,,,
619,7,False,0.086081,False,,1.0,1.0,6.0,1.0,[0.010145]
619,8,False,0.082045,False,,1.0,0.0,1.0,0.2,"[0.010383, 0.010091]"
619,9,,,False,,,,,,
619,10,,,False,,,,,,
619,11,,,False,,,,,,
619,12,,,False,,,,,,
619,13,,,False,,,,,,
619,14,False,0.063647,False,,1.0,1.0,6.0,1.0,[0.007413]
619,15,False,0.07917,False,,1.0,1.0,6.0,1.0,[0.009544]
619,16,False,0.069685,False,,1.0,1.0,6.0,1.0,[0.007195]
619,17,False,0.071947,False,,1.0,1.0,6.0,1.0,[0.00805]
619,18,,,False,,,,,,
619,19,False,0.072012,False,,1.0,1.0,6.0,1.0,[0.008419]
619,20,False,0.065106,False,,1.0,1.0,6.0,1.0,[0.008863]
619,21,False,0.178684,False,,0.0,,,,"[0.00746, 0.010341]"
619,22,False,0.064096,False,,1.0,1.0,6.0,1.0,[0.00798]
619,23,False,0.075499,False,,1.0,1.0,6.0,1.0,[0.007548]
619,24,False,0.066278,False,,1.0,1.0,6.0,1.0,[0.007927]
619,25,False,0.073444,False,,1.0,1.0,6.0,1.0,[0.008882]
619,26,False,0.237364,False,,1.0,1.0,6.0,1.0,[0.009891]
619,27,False,0.067979,False,,1.0,1.0,7.0,1.0,[0.008094]
619,28,False,0.079895,False,,1.0,1.0,7.0,1.0,[0.008077]
619,29,True,0.056926,False,,0.0,,,,"[0.0078, 0.011276]"
619,30,False,0.081077,False,,1.0,1.0,6.0,1.0,[0.007941]
619,31,False,0.079413,False,,1.0,1.0,6.0,1.0,[0.010029]
619,32,False,0.069933,False,,1.0,1.0,6.0,1.0,[0.007662]
619,33,False,0.072294,False,,1.0,1.0,6.0,1.0,[0.009719]
619,34,False,0.078209,False,,1.0,1.0,8.0,1.0,[0.008156]
619,35,False,0.092976,False,,1.0,1.0,6.0,1.0,[0.009994]
619,36,False,0.06561,False,,1.0,1.0,6.0,1.0,[0.009968]
619,37,False,0.051685,False,,0.0,,,,"[0.008435, 0.008423]"
619,38,False,0.049199,False,,0.0,,,,"[0.008814, 0.009214]"
619,39,True,0.056706,False,,0.0,,,,"[0.008418, 0.016895]"
619,40,False,0.07968,False,,1.0,1.0,7.0,1.0,[0.007842]
619,41,False,0.068936,False,,1.0,1.0,6.0,1.0,[0.01005]
619,42,False,0.068023,False,,1.0,1.0,6.0,1.0,[0.007254]
619,43,False,0.056446,False,,1.0,1.0,6.0,1.0,[0.007435]
619,44,False,0.046565,False,,0.0,,,,"[0.009495, 0.012838]"
619,45,False,0.073482,False,,1.0,1.0,6.0,1.0,[0.009615]
619,46,False,0.071673,False,,1.0,1.0,6.0,1.0,[0.007854]
619,47,False,0.077387,False,,1.0,1.0,7.0,1.0,[0.006735]
619,48,,,False,,,,,,
619,49,,,False,,,,,,
619,50,False,0.062744,False,,1.0,1.0,6.0,1.0,[0.006638]
